winpercent, oppwinpercent, weather, temperature, numinjured, oppnuminjured, startingpitcher, oppstartingpitcher, dayssincegame, oppdayssincegame, homeaway, rundifferential, opprundifferential, winner
0.795632420814,0.712099034989,-1,70.7669474215,1.0,2.0,5,1,3.0,3.0,0,78.0,8.0,1
0.477716890852,0.062440221133,1,67.7433655575,0.0,1.0,3,3,2.0,1.0,1,54.0,87.0,0
0.147865125339,0.496120244006,0,63.0414476302,1.0,1.0,2,1,0.0,3.0,0,45.0,46.0,1
0.307670119423,0.339182486017,1,77.4802446112,2.0,3.0,4,5,2.0,2.0,1,65.0,60.0,0
0.48900691787,0.351473206792,0,77.0964260904,0.0,0.0,1,4,2.0,2.0,0,29.0,65.0,1
0.897434001144,0.40024022443,0,65.518952279,0.0,2.0,1,1,2.0,1.0,0,35.0,70.0,0
0.690726376088,0.71734765923,0,66.672806857,0.0,?,5,5,3.0,4.0,0,46.0,22.0,0
0.311513070152,0.765060743415,?,58.7766761796,1.0,3.0,3,2,3.0,4.0,1,10.0,20.0,0
0.490012650898,1.05474960911,1,57.4614814082,0.0,3.0,2,1,2.0,2.0,0,49.0,49.0,0
0.375790528297,0.659730231153,0,63.8961929865,1.0,1.0,2,3,3.0,1.0,0,45.0,60.0,1
0.468436072223,0.387363293346,1,64.5605749096,2.0,3.0,5,3,4.0,3.0,0,29.0,18.0,0
0.789757090835,0.584222408284,?,68.5138758042,2.0,1.0,5,?,4.0,4.0,0,42.0,62.0,1
?,0.459211255254,0,53.038442373,3.0,3.0,4,5,3.0,1.0,0,49.0,?,1
0.388008525806,0.601335597606,1,53.7433560226,0.0,1.0,4,3,2.0,4.0,1,25.0,82.0,0
0.288872006277,0.572083605739,0,45.8774830019,2.0,2.0,1,3,2.0,2.0,1,59.0,70.0,1
0.528808101582,0.252956313897,0,?,2.0,0.0,3,2,?,2.0,0,?,28.0,1
0.239891609699,0.810676950722,-1,?,1.0,1.0,3,2,3.0,3.0,1,42.0,?,1
0.530955023474,0.128680497464,0,47.3882843364,3.0,2.0,1,1,2.0,3.0,0,62.0,60.0,0
0.763659485099,0.837429301835,0,66.7492842631,0.0,1.0,3,3,1.0,2.0,1,60.0,55.0,0
-0.0253320751701,0.4285521073,-1,60.7219160173,3.0,2.0,3,3,2.0,2.0,0,10.0,32.0,1
0.656640401742,0.419947926827,0,68.0854207209,1.0,1.0,2,5,2.0,?,?,13.0,46.0,1
0.488830098712,0.466116517554,0,79.0163054268,0.0,2.0,5,5,1.0,3.0,1,82.0,70.0,0
0.458461476632,0.326075727412,-1,67.3214403454,2.0,1.0,3,1,4.0,2.0,0,57.0,46.0,1
